Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.0996662958843159,1.0,0.0996662958843159
4,0.4366055456171735,1.0,0.4366055456171735
6,0.0,0.0,0.0
7,0.3317741396592048,0.8353936964027174,0.3317741396592048
14,0.7675038897532785,0.8315776173057119,0.7675038897532785
15,0.2815716657443276,0.09897915158165412,0.2815716657443276
17,0.46519902156993553,0.7408589572316797,0.46519902156993553
18,0.5365637791791127,0.6314483016098191,0.5365637791791127
20,0.0,0.0,0.0
21,0.5171217547000895,0.5840103294928186,0.5171217547000895
22,0.0,0.0,0.0
23,0.6984974958263773,1.0,0.6984974958263773
25,0.6611801589967529,0.7679991042436457,0.6611801589967529
26,0.515974618724257,0.521858681630327,0.515974618724257
27,0.4810266622413984,0.8704502710476822,0.4810266622413984
30,0.09778516057585825,0.29832411302065304,0.09778516057585825
32,0.1067193675889328,0.5975081848640328,0.10671936758893279
33,0.13697195391597813,0.47485041488699464,0.13697195391597813
34,0.4439008117424664,0.4698098521071945,0.4439008117424664
37,0.19662984041959602,0.06295687213076843,0.19662984041959602
38,0.39563377144130096,0.5713507369716732,0.39563377144130096
39,0.24224290780141844,0.2752003518905278,0.24224290780141844
40,0.034152853487595954,1.0,0.034152853487595954
41,0.2240382477207027,0.9407670957593128,0.2240382477207027
