Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.8765294771968855,1.0,0.8765294771968855
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
14,0.5767948432985108,0.7156400951950738,0.5767948432985108
15,0.45522966242390706,0.33926066118418696,0.45522966242390706
17,0.48421169668668,0.8996313253795444,0.48421169668668
18,0.23232658479920346,0.2150794735952119,0.23232658479920346
20,0.49195890104981016,0.6179252812440226,0.49195890104981016
21,0.6091092211280215,0.6920355950426234,0.6091092211280215
22,0.0,0.0,0.0
23,0.0,0.0,0.0
25,0.5506662187884895,0.5403461508827252,0.5506662187884895
26,0.32038294556384284,0.6530419993318805,0.32038294556384284
27,0.6158867131319836,0.7191743334702356,0.6158867131319836
30,0.10232558139534884,0.2494082057099641,0.10232558139534885
32,0.12106154714850367,0.6472061514629236,0.12106154714850367
33,0.018154311649016642,0.5902987897125568,0.018154311649016642
34,0.030912932280662737,0.4698098521071945,0.030912932280662737
37,0.24707063943756277,0.5457850077498557,0.24707063943756277
38,0.42359100022276674,0.5583043082098175,0.42359100022276674
39,0.5341312056737588,0.46163348670188964,0.5341312056737588
40,0.22661030147958616,1.0,0.22661030147958616
41,0.8424505225706026,0.8045819938896919,0.8424505225706026
