Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.8997775305895439,0.8095996045538176,0.8997775305895439
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
14,0.8800844632140475,0.7745486623907581,0.8800844632140475
15,0.8670724958494742,0.7518147130586366,0.8670724958494742
17,0.0,0.0,0.0
18,0.5637791791127337,0.31784696280102787,0.5637791791127337
20,1.0,1.0,1.0
21,0.7187779767233662,0.5166417798225359,0.7187779767233662
22,0.0,0.0,0.0
23,0.0,0.0,0.0
25,0.33277348561191356,0.11073819272630243,0.33277348561191356
26,0.0,0.0,0.0
27,0.5715233986060405,0.32663899515419903,0.5715233986060405
30,0.8005537098560355,0.6408862423642614,0.8005537098560355
32,0.3037831733483907,0.09228421640961841,0.3037831733483907
33,0.0,0.0,0.0
34,0.5301901478928055,0.28110159292259496,0.5301901478928055
37,0.6288360674031916,0.39543479966711137,0.6288360674031916
38,0.4257072844731566,0.18122669205350908,0.4257072844731566
39,0.4483599290780142,0.2010266260028419,0.4483599290780142
40,1.0,1.0,1.0
41,0.7996442072492773,0.6394308581873251,0.7996442072492773
