Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.5827586206896552,0.7677417724362574,0.5827586206896552
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.22006905000556856,0.6574026061695618,0.22006905000556856
14,0.5560124472104913,0.7239497812331274,0.5560124472104913
15,0.15893746541228557,0.6901973969178742,0.15893746541228557
17,0.2193684678674672,0.549813381969078,0.21936846786746717
18,0.682044473946233,0.6041749306159432,0.682044473946233
20,0.0,0.0,0.0
21,0.6491718889883616,0.645379655036749,0.6491718889883616
22,0.0,0.0,0.0
23,0.09081803005008347,0.01740082990460917,0.09081803005008347
25,0.2019930578882544,0.5302540228881533,0.2019930578882544
26,0.0,0.0,0.0
27,0.2230335214072353,0.24376900956276096,0.2230335214072353
30,0.41040974529346624,0.7778846483289112,0.41040974529346624
32,0.28402032749858835,0.19902011258283614,0.28402032749858835
33,0.3328290468986384,0.12669290888464668,0.3328290468986384
34,0.03836317135549872,0.49170860490058577,0.03836317135549872
37,0.3858944314250642,0.32053583742338393,0.3858944314250642
38,0.4942080641568278,0.47870069300179624,0.4942080641568278
39,0.24168882978723405,0.5791534857696796,0.24168882978723405
40,0.2272777839581711,1.0,0.2272777839581711
41,0.26072937513898153,0.8617159377256699,0.26072937513898153
