Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.10022246941045607,1.0,0.10022246941045607
4,1.0,1.0,1.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
14,0.3695265614581018,0.14770404319308336,0.3695265614581018
15,0.29872717210846705,0.10294492307466198,0.29872717210846705
17,0.09995552590615966,0.010461003235114964,0.09995552590615966
18,0.5028211085297046,0.6069019997732482,0.5028211085297046
20,0.0,0.0,0.0
21,0.6180617726051925,0.5998749946163429,0.6180617726051925
22,0.0,0.0,0.0
23,0.8862548692264886,1.0,0.8862548692264886
25,0.0,0.0,0.0
26,0.5264388288990315,0.4501911536789019,0.5264388288990315
27,0.0,0.0,0.0
30,0.09988925802879291,0.16650058445443439,0.09988925802879291
32,0.6972332015810276,0.7307113994781685,0.6972332015810276
33,0.0,0.0,0.0
34,0.4698098521071945,0.4698098521071945,0.4698098521071945
37,0.1970762191719674,0.0483728733077901,0.1970762191719674
38,0.10080196034751615,0.11732451405429797,0.10080196034751615
39,0.243572695035461,0.32715450072394414,0.243572695035461
40,0.0,0.0,0.0
41,0.0,0.0,0.0
