Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.1,1.0,0.1
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
14,0.34829962213825294,0.2417964923375702,0.34829962213825294
15,0.033868289983397894,0.31872290448326174,0.033868289983397894
17,0.08705803869246165,0.8346885300638136,0.08705803869246165
18,0.4508242062175019,0.24216371963704142,0.4508242062175019
20,0.04779986598168416,0.39222220539631947,0.04779986598168416
21,0.7860340196956133,0.8976473439462621,0.7860340196956133
22,0.0,0.0,0.0
23,0.07568169170840289,1.0,0.07568169170840289
25,0.6655469712238271,0.7679991042436457,0.6655469712238271
26,0.5199821885784259,0.46630819727700334,0.5199821885784259
27,0.15742891912822216,0.8704502710476822,0.15742891912822216
30,0.09778516057585825,0.3130498098144538,0.09778516057585825
32,0.4930547713156409,0.5951439864483343,0.4930547713156409
33,0.0029093448155475387,0.7265215873385313,0.002909344815547539
34,0.3321472256199266,0.4698098521071945,0.3321472256199266
37,0.20823568798125208,0.7817409978099924,0.20823568798125208
38,0.361661840053464,0.40710852531447617,0.361661840053464
39,0.2370345744680851,0.322471579246602,0.2370345744680851
40,0.0,0.0,0.0
41,0.13219924394040472,0.9000444740938404,0.13219924394040472
