Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.1,1.0,0.1
4,1.0,1.0,1.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
14,0.3695265614581018,0.33552971428054784,0.3695265614581018
15,0.29872717210846705,0.10294492307466198,0.29872717210846705
17,0.42995330220146766,0.7302710829460513,0.42995330220146766
18,0.2160637238632592,0.3297464983055163,0.2160637238632592
20,0.0,0.0,0.0
21,0.5171217547000895,0.5840103294928186,0.5171217547000895
22,0.0,0.0,0.0
23,0.8862548692264886,1.0,0.8862548692264886
25,0.0,0.0,0.0
26,0.5264388288990315,0.5032132203405034,0.5264388288990315
27,0.6710919349485562,0.8704502710476822,0.6710919349485562
30,0.09988925802879291,0.16650058445443439,0.09988925802879291
32,0.09520045172219085,0.5951439864483343,0.09520045172219085
33,0.0,0.0,0.0
34,0.4449015901256533,0.4698098521071945,0.4449015901256533
37,0.1006584086597478,0.03354829647199637,0.1006584086597478
38,0.3990866562708844,0.7274503559767787,0.3990866562708844
39,0.24368351063829788,0.27333111830811374,0.24368351063829788
40,0.0,0.0,0.0
41,0.2991994663108739,0.9235357230505875,0.2991994663108739
