Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.9,1.0,0.9
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
14,0.34474327628361856,0.4423133631079528,0.34474327628361856
15,0.29872717210846705,0.12021241054431978,0.29872717210846705
17,0.4799866577718479,0.9000444740938404,0.4799866577718479
18,0.20787697754176346,0.15448539748916199,0.20787697754176346
20,0.5676792494974313,0.6542793619252865,0.5676792494974313
21,0.5970232766338407,0.4630886035256144,0.5970232766338407
22,0.0,0.0,0.0
23,0.3006121313299944,1.0,0.3006121313299944
25,0.23200089575635427,0.06740126977105526,0.23200089575635427
26,0.3259490148057442,0.6302879566600958,0.3259490148057442
27,0.6217501936054873,0.7203549585168567,0.6217501936054873
30,0.1991140642303433,0.18654498892580287,0.1991140642303433
32,0.20293619424054207,0.05859195710961667,0.20293619424054207
33,0.0,0.0,0.0
34,0.0,0.0,0.0
37,0.2815533980582524,0.5401323460707704,0.2815533980582524
38,0.1990421029182446,0.04116762012903971,0.1990421029182446
39,0.7311613475177305,0.7150381047141044,0.7311613475177305
40,1.0,1.0,1.0
41,0.9000444740938404,0.8100800553468577,0.9000444740938404
